,cos,l2,cost
wgan,0.3586081266403198,197364252672.0,11200806.0
wgan-gp,0.9601462483406067,7.814312934875488,214.13079833984375
wgan-lp,0.9618006944656372,7.950398921966553,215.23394775390625
sn-gan,0.36500757932662964,56.38872528076172,179.93692016601562
lsot-f,0.4333994388580322,2.1733670234680176,32.161312103271484
3p-wgan,0.015511204488575459,992729890816.0,2036077.75
cowgan,0.32504701614379883,3.4749433994293213,85.78192138671875
wgan-qp,0.42748644948005676,1.5445337295532227,14.419350624084473
3p-wgan_rev,0.975479245185852,0.04622770845890045,38.19166564941406
dot,0.646230936050415,0.686322033405304,66.29075622558594
true,1.0,0.0,58.37804412841797
