,cos,l2,cost
wgan,0.2555926442146301,4915691.0,20179.099609375
wgan-gp,0.9435892701148987,1.7545912265777588,66.24795532226562
wgan-lp,0.9441549777984619,1.705146312713623,66.79318237304688
sn-gan,0.35641688108444214,2.5959606170654297,20.44245147705078
lsot-f,0.6057583093643188,0.9449304342269897,17.00320053100586
3p-wgan,0.1071660965681076,135.8590545654297,35.09923553466797
cowgan,0.5010266304016113,1.7463645935058594,35.26901626586914
wgan-qp,0.5934389233589172,1.0424895286560059,15.9037504196167
3p-wgan_rev,0.9525899887084961,0.0802641287446022,24.288467407226562
dot,0.7879898548126221,0.4528138339519501,31.167865753173828
true,1.0,0.0,29.656505584716797
