,cos,l2,cost
wgan,0.08962895721197128,1.149656057357788,0.05608832836151123
wgan-gp,0.670827329158783,0.5953810214996338,0.5782763957977295
wgan-lp,0.8169679641723633,0.296517014503479,0.687736988067627
sn-gan,0.14554482698440552,1.0213539600372314,0.07602173089981079
lsot-f,0.1154329776763916,0.9663653373718262,0.011396646499633789
3p-wgan,0.5802558064460754,9.271146774291992,1.3475569486618042
sort-out,0.5026004314422607,0.6966476440429688,0.25887227058410645
wgan-qp,0.7474812269210815,0.4408717155456543,0.3523828089237213
cowgan,0.7769599556922913,0.44142162799835205,0.7405954003334045
3p-wgan_rev,0.6430505514144897,0.7069664001464844,0.664821982383728
dot,0.6576636433601379,0.6695346832275391,0.7992653846740723
true,1.0,0.0,0.7098450660705566
